Low velocity
1 planets at:
0 500
Trajectory:
50.0937 10.2194
50.2486 10.2838
50.4034 10.3485
50.5582 10.4133
50.7129 10.4784
50.8677 10.5437
51.0224 10.6091
51.1771 10.6748
51.3318 10.7407
51.4865 10.8068
51.6411 10.8731
51.7957 10.9396
51.9503 11.0063
52.1049 11.0732
52.2594 11.1403
52.414 11.2077
52.5685 11.2752
52.723 11.3429
52.8774 11.4109
53.0319 11.479
53.1863 11.5474
53.3407 11.6159
53.4951 11.6847
53.6494 11.7537
53.8037 11.8228
53.9581 11.8922
54.1123 11.9618
54.2666 12.0316
54.4208 12.1016
54.5751 12.1718
54.7293 12.2422
54.8834 12.3129
55.0376 12.3837
55.1917 12.4547
55.3458 12.5259
55.4999 12.5974
55.6539 12.669
55.808 12.7409
55.962 12.813
56.1159 12.8852
56.2699 12.9577
56.4238 13.0304
56.5778 13.1033
56.7316 13.1764
56.8855 13.2497
57.0393 13.3232
57.1932 13.3969
57.3469 13.4709
57.5007 13.545
57.6545 13.6193
57.8082 13.6939
57.9619 13.7686
58.1155 13.8436
58.2692 13.9187
58.4228 13.9941
58.5764 14.0697
58.73 14.1455
58.8835 14.2215
59.037 14.2977
59.1905 14.3741
59.344 14.4507
59.4974 14.5275
59.6508 14.6046
59.8042 14.6818
59.9576 14.7593
60.1109 14.8369
60.2643 14.9148
60.4175 14.9928
60.5708 15.0711
60.724 15.1496
60.8773 15.2283
61.0304 15.3072
61.1836 15.3863
61.3367 15.4656
61.4898 15.5452
61.6429 15.6249
61.796 15.7048
61.949 15.785
62.102 15.8653
62.255 15.9459
62.4079 16.0267
62.5608 16.1077
62.7137 16.1888
62.8666 16.2702
63.0194 16.3519
63.1723 16.4337
63.325 16.5157
63.4778 16.5979
63.6305 16.6804
63.7832 16.763
63.9359 16.8459
64.0886 16.9289
64.2412 17.0122
64.3938 17.0957
64.5463 17.1794
64.6989 17.2633
64.8514 17.3474
65.0039 17.4317
65.1563 17.5162
65.3087 17.601
65.4611 17.6859
65.6135 17.7711
65.7658 17.8564
65.9182 17.942
66.0704 18.0278
66.2227 18.1138
66.3749 18.2
66.5271 18.2864
66.6793 18.373
66.8314 18.4599
66.9835 18.5469
67.1356 18.6341
67.2877 18.7216
67.4397 18.8093
67.5917 18.8972
67.7436 18.9852
67.8956 19.0735
68.0475 19.162
68.1993 19.2508
68.3512 19.3397
68.503 19.4288
68.6548 19.5182
68.8066 19.6077
68.9583 19.6975
69.11 19.7875
69.2616 19.8777
69.4133 19.9681
69.5649 20.0587
69.7165 20.1495
69.868 20.2405
70.0195 20.3318
70.171 20.4232
70.3224 20.5149
70.4739 20.6067
70.6253 20.6988
70.7766 20.7911
70.9279 20.8836
71.0792 20.9763
71.2305 21.0693
71.3817 21.1624
71.5329 21.2557
71.6841 21.3493
71.8352 21.4431
71.9864 21.5371
72.1374 21.6312
72.2885 21.7256
72.4395 21.8203
72.5905 21.9151
72.7414 22.0101
72.8923 22.1054
73.0432 22.2008
73.1941 22.2965
73.3449 22.3924
73.4957 22.4885
73.6464 22.5848
73.7971 22.6813
73.9478 22.778
74.0985 22.875
74.2491 22.9721
74.3997 23.0695
74.5503 23.1671
74.7008 23.2649
74.8513 23.3629
75.0017 23.4611
75.1521 23.5595
75.3025 23.6581
75.4529 23.757
75.6032 23.856
75.7535 23.9553
75.9038 24.0548
76.054 24.1545
76.2042 24.2544
76.3543 24.3545
76.5044 24.4549
76.6545 24.5554
76.8046 24.6562
76.9546 24.7572
77.1046 24.8584
77.2545 24.9598
77.4044 25.0614
77.5543 25.1632
77.7042 25.2653
77.854 25.3675
78.0037 25.47
78.1535 25.5727
78.3032 25.6756
78.4529 25.7787
78.6025 25.882
78.7521 25.9855
78.9016 26.0893
79.0512 26.1932
79.2007 26.2974
79.3501 26.4018
79.4995 26.5064
79.6489 26.6112
79.7983 26.7163
79.9476 26.8215
80.0969 26.927
80.2461 27.0326
80.3953 27.1385
80.5445 27.2446
80.6936 27.3509
80.8427 27.4575
80.9917 27.5642
81.1408 27.6712
81.2897 27.7784
81.4387 27.8857
81.5876 27.9933
81.7365 28.1012
81.8853 28.2092
82.0341 28.3174
82.1829 28.4259
82.3316 28.5346
82.4803 28.6435
82.6289 28.7526
82.7775 28.8619
82.9261 28.9714
83.0747 29.0812
83.2232 29.1912
83.3716 29.3013
83.52 29.4117
83.6684 29.5224
83.8168 29.6332
83.9651 29.7442
84.1133 29.8555
84.2616 29.967
84.4098 30.0787
84.5579 30.1906
84.706 30.3027
84.8541 30.415
85.0021 30.5276
85.1501 30.6404
85.2981 30.7534
85.446 30.8666
85.5939 30.98
85.7417 31.0936
85.8895 31.2075
86.0373 31.3216
86.185 31.4358
86.3327 31.5504
86.4803 31.6651
86.6279 31.78
86.7755 31.8952
86.923 32.0105
87.0705 32.1261
87.2179 32.2419
87.3653 32.358
87.5127 32.4742
87.66 32.5906
87.8073 32.7073
87.9545 32.8242
88.1017 32.9413
88.2489 33.0586
88.396 33.1762
88.5431 33.2939
88.6901 33.4119
88.8371 33.5301
88.984 33.6485
89.1309 33.7672
89.2778 33.886
89.4246 34.0051
89.5714 34.1244
89.7181 34.2439
89.8648 34.3636
90.0115 34.4835
90.1581 34.6037
90.3047 34.7241
90.4512 34.8447
90.5977 34.9655
90.7441 35.0865
90.8905 35.2078
91.0369 35.3292
91.1832 35.4509
91.3295 35.5728
91.4757 35.695
91.6219 35.8173
91.768 35.9399
91.9141 36.0627
92.0602 36.1857
92.2062 36.3089
92.3522 36.4323
92.4981 36.556
92.644 36.6799
92.7898 36.804
92.9356 36.9283
93.0814 37.0528
93.2271 37.1776
93.3727 37.3026
93.5183 37.4278
93.6639 37.5532
93.8095 37.6788
93.9549 37.8047
94.1004 37.9308
94.2458 38.0571
94.3911 38.1836
94.5364 38.3104
94.6817 38.4373
94.8269 38.5645
94.9721 38.6919
95.1172 38.8195
95.2623 38.9474
95.4073 39.0754
95.5523 39.2037
95.6972 39.3322
95.8421 39.461
95.987 39.5899
96.1318 39.7191
96.2766 39.8485
96.4213 39.9781
96.5659 40.1079
96.7105 40.238
96.8551 40.3683
96.9996 40.4988
97.1441 40.6295
97.2885 40.7604
97.4329 40.8916
97.5773 41.023
97.7215 41.1546
97.8658 41.2864
98.01 41.4185
98.1541 41.5508
98.2982 41.6833
98.4423 41.816
98.5863 41.9489
98.7302 42.0821
98.8741 42.2155
99.018 42.3491
99.1618 42.4829
99.3056 42.617
99.4493 42.7513
99.593 42.8858
99.7366 43.0205
99.8801 43.1555
100.024 43.2906
100.167 43.426
100.311 43.5617
100.454 43.6975
100.597 43.8336
100.741 43.9699
100.884 44.1064
101.027 44.2431
101.17 44.3801
101.313 44.5173
101.456 44.6547
101.599 44.7923
101.742 44.9302
101.885 45.0683
102.028 45.2066
102.171 45.3451
102.313 45.4839
102.456 45.6228
102.599 45.7621
102.741 45.9015
102.884 46.0411
103.026 46.181
103.169 46.3211
103.311 46.4615
103.453 46.602
103.596 46.7428
103.738 46.8838
103.88 47.025
104.022 47.1665
104.164 47.3082
104.306 47.4501
104.448 47.5922
104.59 47.7346
104.732 47.8772
104.874 48.02
105.015 48.163
105.157 48.3063
105.299 48.4498
105.44 48.5935
105.582 48.7375
105.723 48.8816
105.865 49.0261
106.006 49.1707
106.147 49.3155
106.289 49.4606
106.43 49.6059
106.571 49.7515
106.712 49.8972
106.853 50.0432
106.994 50.1894
107.135 50.3359
107.276 50.4825
107.417 50.6294
107.558 50.7766
107.698 50.9239
107.839 51.0715
107.98 51.2193
108.12 51.3674
108.261 51.5156
108.401 51.6641
108.542 51.8129
108.682 51.9618
108.822 52.111
108.963 52.2604
109.103 52.41
109.243 52.5599
109.383 52.71
109.523 52.8603
109.663 53.0109
109.803 53.1617
109.943 53.3127
110.082 53.4639
110.222 53.6154
110.362 53.7671
110.501 53.919
110.641 54.0712
110.781 54.2236
110.92 54.3762
111.059 54.529
111.199 54.6821
111.338 54.8354
111.477 54.989
111.616 55.1428
111.755 55.2968
111.895 55.451
112.033 55.6055
112.172 55.7601
112.311 55.9151
112.45 56.0702
112.589 56.2256
112.728 56.3812
112.866 56.5371
113.005 56.6932
113.143 56.8495
113.282 57.006
113.42 57.1628
113.558 57.3198
113.697 57.477
113.835 57.6345
113.973 57.7922
114.111 57.9502
114.249 58.1083
114.387 58.2667
114.525 58.4254
114.663 58.5842
114.801 58.7433
114.939 58.9027
115.076 59.0622
115.214 59.222
115.351 59.3821
115.489 59.5423
115.626 59.7028
115.764 59.8635
115.901 60.0245
116.038 60.1857
116.176 60.3471
116.313 60.5088
116.45 60.6707
116.587 60.8328
116.724 60.9952
116.861 61.1578
116.997 61.3206
117.134 61.4837
117.271 61.647
117.407 61.8105
117.544 61.9743
117.68 62.1383
117.817 62.3025
117.953 62.467
118.09 62.6317
118.226 62.7967
118.362 62.9619
118.498 63.1273
118.634 63.2929
118.77 63.4588
118.906 63.6249
119.042 63.7913
119.178 63.9579
119.314 64.1247
119.449 64.2918
119.585 64.4591
119.72 64.6266
119.856 64.7944
119.991 64.9624
120.127 65.1307
120.262 65.2992
120.397 65.4679
120.532 65.6368
120.667 65.806
120.802 65.9755
120.937 66.1451
121.072 66.3151
121.207 66.4852
121.342 66.6556
121.477 66.8262
121.611 66.9971
121.746 67.1682
121.88 67.3395
122.015 67.5111
122.149 67.6829
122.283 67.8549
122.418 68.0272
122.552 68.1997
122.686 68.3725
122.82 68.5455
122.954 68.7188
123.088 68.8922
123.221 69.066
123.355 69.2399
123.489 69.4141
123.622 69.5886
123.756 69.7632
123.889 69.9382
124.023 70.1133
124.156 70.2887
124.289 70.4643
124.423 70.6402
124.556 70.8163
124.689 70.9927
124.822 71.1693
124.955 71.3461
125.088 71.5232
125.22 71.7005
125.353 71.8781
125.486 72.0559
125.618 72.234
125.751 72.4122
125.883 72.5908
126.016 72.7695
126.148 72.9486
126.28 73.1278
126.412 73.3073
126.544 73.487
126.676 73.667
126.808 73.8472
126.94 74.0277
127.072 74.2084
127.203 74.3894
127.335 74.5705
127.467 74.752
127.598 74.9337
127.73 75.1156
127.861 75.2977
127.992 75.4801
128.123 75.6628
128.254 75.8457
128.385 76.0288
128.516 76.2122
128.647 76.3958
128.778 76.5797
128.909 76.7638
129.04 76.9482
129.17 77.1328
129.301 77.3176
129.431 77.5027
129.562 77.688
129.692 77.8736
129.822 78.0594
129.952 78.2455
130.082 78.4318
130.212 78.6184
130.342 78.8052
130.472 78.9922
130.602 79.1796
130.732 79.3671
130.861 79.5549
130.991 79.7429
